iter	Passed	Remaining
0	60	60756
1	68	34079
2	76	25465
3	84	21011
4	92	18354
5	99	16452
6	107	15180
7	114	14207
8	123	13624
9	131	13032
10	138	12484
11	145	12013
12	153	11660
13	160	11307
14	168	11081
15	176	10852
16	184	10691
17	193	10539
18	202	10432
19	210	10319
20	218	10195
21	226	10062
22	234	9967
23	242	9867
24	250	9768
25	257	9662
26	265	9575
27	275	9549
28	284	9515
29	293	9488
30	302	9442
31	309	9360
32	317	9294
33	324	9230
34	332	9172
35	340	9115
36	349	9091
37	357	9045
38	365	8998
39	373	8965
40	381	8924
41	389	8888
42	398	8859
43	405	8820
44	415	8823
45	423	8790
46	431	8749
47	439	8715
48	447	8688
49	455	8660
50	463	8629
51	471	8603
52	480	8586
53	490	8595
54	500	8601
55	509	8591
56	517	8567
57	525	8539
58	533	8510
59	542	8491
60	551	8493
61	559	8471
62	567	8446
63	575	8420
64	583	8400
65	592	8381
66	600	8359
67	608	8344
68	616	8325
69	625	8303
70	633	8286
71	680	8773
72	690	8772
73	705	8832
74	714	8811
75	722	8779
76	729	8744
77	737	8719
78	745	8691
79	752	8657
80	760	8630
81	768	8603
82	776	8581
83	784	8554
84	793	8542
85	802	8532
86	813	8532
87	821	8512
88	828	8483
89	836	8460
90	846	8455
91	856	8454
92	866	8446
93	874	8428
94	882	8407
95	890	8388
96	899	8373
97	907	8354
98	915	8331
99	923	8312
100	931	8291
101	939	8271
102	948	8259
103	957	8246
104	966	8236
105	974	8217
106	984	8218
107	993	8205
108	1003	8201
109	1013	8199
110	1023	8201
111	1032	8188
112	1042	8184
113	1053	8185
114	1062	8173
115	1071	8164
116	1079	8146
117	1087	8127
118	1095	8106
119	1102	8085
120	1111	8071
121	1119	8053
122	1126	8033
123	1135	8018
124	1143	8001
125	1152	7994
126	1160	7975
127	1168	7958
128	1175	7936
129	1182	7914
130	1190	7896
131	1199	7884
132	1206	7866
133	1213	7844
134	1221	7825
135	1229	7809
136	1236	7786
137	1243	7770
138	1251	7750
139	1259	7736
140	1268	7726
141	1276	7712
142	1285	7702
143	1294	7692
144	1303	7686
145	1312	7678
146	1322	7671
147	1331	7667
148	1339	7652
149	1347	7635
150	1355	7619
151	1362	7602
152	1370	7584
153	1377	7568
154	1385	7552
155	1393	7536
156	1400	7519
157	1408	7503
158	1415	7487
159	1423	7475
160	1433	7472
161	1442	7461
162	1452	7456
163	1460	7445
164	1468	7432
165	1476	7420
166	1486	7413
167	1495	7406
168	1503	7394
169	1512	7383
170	1520	7369
171	1527	7352
172	1535	7340
173	1544	7333
174	1560	7356
175	1571	7358
176	1582	7358
177	1596	7372
178	1606	7369
179	1616	7363
180	1625	7355
181	1634	7347
182	1644	7342
183	1653	7334
184	1662	7323
185	1672	7319
186	1681	7311
187	1691	7304
188	1700	7296
189	1709	7287
190	1717	7272
191	1726	7264
192	1734	7252
193	1743	7242
194	1751	7230
195	1760	7220
196	1769	7211
197	1777	7199
198	1785	7188
199	1794	7177
200	1805	7179
201	1816	7175
202	1826	7169
203	1835	7162
204	1845	7155
205	1854	7148
206	1863	7140
207	1871	7127
208	1879	7114
209	1889	7108
210	1897	7097
211	1906	7085
212	1914	7073
213	1922	7061
214	1931	7052
215	1940	7042
216	1948	7030
217	1957	7021
218	1966	7011
219	1974	7000
220	1982	6989
221	1991	6980
222	2000	6971
223	2009	6960
224	2017	6948
225	2025	6935
226	2032	6922
227	2041	6910
228	2049	6898
229	2056	6886
230	2066	6880
231	2075	6871
232	2083	6859
233	2092	6848
234	2101	6840
235	2110	6831
236	2119	6821
237	2127	6812
238	2137	6807
239	2146	6797
240	2155	6789
241	2164	6781
242	2172	6768
243	2181	6758
244	2189	6746
245	2197	6736
246	2206	6725
247	2214	6714
248	2222	6703
249	2231	6695
250	2239	6684
251	2248	6672
252	2256	6660
253	2264	6652
254	2273	6641
255	2281	6631
256	2290	6620
257	2298	6609
258	2307	6601
259	2316	6593
260	2326	6586
261	2334	6576
262	2343	6567
263	2351	6555
264	2361	6550
265	2370	6540
266	2379	6531
267	2390	6528
268	2399	6520
269	2407	6510
270	2419	6509
271	2426	6494
272	2436	6488
273	2445	6479
274	2453	6468
275	2461	6457
276	2470	6448
277	2478	6437
278	2487	6427
279	2495	6417
280	2505	6409
281	2513	6399
282	2521	6388
283	2528	6375
284	2536	6364
285	2544	6352
286	2552	6341
287	2560	6330
288	2569	6320
289	2576	6308
290	2584	6297
291	2593	6288
292	2601	6277
293	2609	6265
294	2616	6253
295	2624	6242
296	2632	6230
297	2639	6218
298	2647	6207
